"score","substance","or_unadj","or_adj"
"belonging","Alcohol",0.936996407213001,0.947497908195534
"belonging","Binge drinking",1.20575318638483,1.20865835974615
"belonging","Cannabis",0.881632068476121,0.852502789325074
"belonging","Nicotine",1.00325037752401,0.994480357770027
"loneliness","Alcohol",0.845285838099605,0.899215423376814
"loneliness","Binge drinking",0.858609632599432,0.878023205846624
"loneliness","Cannabis",1.05327825546359,1.09354577391224
"loneliness","Nicotine",0.905762562177055,0.933079010409015
"k6","Alcohol",1.04641764361424,1.05026348087403
"k6","Binge drinking",0.891538763123977,0.869576546569378
"k6","Cannabis",1.25699612899512,1.2894075877824
"k6","Nicotine",1.0961450069237,1.11207091902217
"flourishing","Alcohol",1.2380480188556,1.18761504817096
"flourishing","Binge drinking",1.24180125587227,1.18184358951157
"flourishing","Cannabis",0.978268978104636,0.956154850154493
"flourishing","Nicotine",1.19338333316399,1.15672354541356
